0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,1
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,2
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,3
0.00,0.00,0,4
0.00,0.00,0,4
0.00,0.00,0,4
0.00,0.00,0,4
0.00,0.00,0,4
0.00,0.00,0,4
0.00,0.00,0,4
0.00,0.00,0,4
0.00,0.00,0,4
0.00,0.00,0,4
0.00,0.00,0,4
0.00,0.00,0,4
0.00,0.00,0,4
0.00,1.52,0,4
0.00,4.55,0,4
0.00,6.06,0,4
69.02,7.58,69,5
69.02,10.61,69,5
69.02,12.12,69,5
69.02,13.64,69,5
53.98,16.67,69,5
65.69,18.18,69,5
65.69,19.70,69,5
65.69,22.73,69,5
65.69,25.76,69,5
65.69,27.28,69,5
65.69,30.31,69,5
65.69,33.34,69,5
65.69,34.85,69,5
86.55,36.37,86,5
86.55,39.40,86,5
86.55,39.40,86,6
43.62,40.91,86,6
43.62,43.95,86,6
43.62,45.46,86,6
92.41,48.49,92,6
92.41,50.01,92,6
92.41,51.52,92,6
63.40,53.04,92,6
